38,6,back in black,(1980)
38,7,for those about to rock,(1981)
38,8,flick of the switch,(1983)
38,9,'74 jailbreak,(1984)
38,10,fly on the wall,(1985)
38,12,blow up your video,(1988)
38,13,the razor's edge,(1990)
38,14,ballbreaker,(1995)
38,15,stiff upper lip,(2000)
38,16,black ice,(2008)
38,17,rock or bust,(2014)
38,18,other songs
41,1,ace frehley,(1978)
41,2,frehley's comet,(1987)
41,3,second sighting,(1988)
41,4,trouble walkin',(1989)
41,5,12 picks,(1997)
41,6,anomaly,(2009)
41,7,space invader,(2014)
41,8,"origins, vol. 1",(2016)
41,9,other songs
42,2,gutta,(2008)
42,3,ruthless,(2009)
42,5,"blood, sweat &amp; tears",(2011)
42,10,trials &amp; tribulations,(2013)
42,17,other songs
43,1,the sign,(1993)
43,2,the bridge,(1995)
43,3,cruel summer,(1998)
43,4,da capo,(2002)
43,5,the golden ratio,(2010)
43,6,hidden gems,(2015)
43,7,other songs
44,1,i don't like being honest,(2017)
45,1,welcome to gazi,(2016)
45,2,on gaz,(2017)
45,3,other songs
46,1,don't cut your fabric to this year's fashion,(2004)
46,2,an army of shapes between wars,(2006)
47,1,dr. lecter,(2011)
47,2,well-done,(2011)<br><i>(with STATIK SELEKTAH)</i>
47,5,saab stories,(2013)
47,7,mr. wonderful,(2015)
47,8,blue chips 7000,(2017)
47,9,other songs
48,1,you are all i see,(2011)
48,2,rapor,(2013)
48,3,curtis lane,(2014)
48,4,mercy,(2015)
48,5,other songs
49,1,dirk wears white sox,(1979)<br><i>(as Adam And The Ants)</i>
49,2,kings of the wild frontier,(1980)<br><i>(as Adam And The Ants)</i>
49,3,prince charming,(1981)<br><i>(as Adam And The Ants)</i>
49,4,friend or foe,(1982)
49,5,strip,(1983)
49,6,vive le rock,(1985)
49,7,manners &amp; physique,(1990)
49,8,antics in the forbidden zone,(1990)
49,9,b-side babies!,(1994)
49,10,wonderful,(1995)
49,11,adam ant is the blueblack hussar in marrying the gunner's daughter,(2013)
49,12,other songs
50,1,green,(2017)
50,2,other songs
52,1,the way i'm made,(2001)
52,2,workin' on it,(2002)
52,3,adam gregory,(2006)
52,4,crazy days,(2009)
52,5,different places,(2012)
52,6,other songs
54,2,for your entertainment,(2009)
54,3,trespassing,(2012)
54,4,the original high,(2015)
54,5,other songs
55,2,other songs
56,1,chapter ii,(2017)
56,2,other songs
57,1,they're all gonna laugh at you!,(1993)
57,2,what the hell happened to me?,(1996)
57,3,what's your name?,(1997)
57,4,stan and judy's kid,(1999)
57,5,shhh...don't tell,(2004)
57,6,other songs
58,1,bryan adams,(1980)
58,2,"you want it, you got it",(1981)
58,3,cuts like a knife,(1983)
58,4,reckless,(1984)
58,5,into the fire,(1987)
58,6,waking up the neighbours,(1991)
58,7,18 til i die,(1996)
58,8,on a day like today,(1998)
58,10,room service,(2004)
58,11,11,(2008)
58,12,tracks of my years,(2014)
58,13,get up!,(2015)
58,14,other songs
61,1,circle of one,(1990)
61,2,evolution,(1993)
61,3,moving on,(1995)
61,4,come walk with me,(1997)
61,5,all the love,(2001)
61,6,christmas time with oleta,(2006)
61,7,let's stay here,(2009)
61,8,other songs
62,1,gather up,(2006)
62,2,leavetaking,(2008)
62,3,traces,(2009)
62,4,between us,(2011)
62,5,the mighty storm,(2014)
63,1,heartbreaker,(2000)
63,2,gold,(2001)
63,3,demolition,(2002)
63,4,"love is hell, pt. 1",(2003)
63,5,"love is hell, pt. 2",(2003)
63,6,rock n roll,(2003)
63,8,cold roses,(2005)
63,9,jacksonville city nights,(2005)
63,10,29,(2005)
63,11,easy tiger,(2007)
63,12,cardinology,(2008)
63,13,cardinals iii/iv,(2010)
63,14,ashes &amp; fire,(2011)
63,15,1984,(2014)
63,16,ryan adams,(2014)
63,17,1989,(2015)
63,18,prisoner,(2017)
